date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,7.7,6.1,9.2,,,282,17.7,35.2,1032.2,
2019-01-02,5.9,5.5,6.6,,,338,13.2,35.2,1038.3,
2019-01-03,5.1,3.7,6,,,336,9.2,18.5,1040.6,
2019-01-04,4.5,3.5,5.2,,,294,11.3,29.6,1039.1,
2019-01-05,6.4,5.2,7.5,,,308,17,33.3,1034.8,
2019-01-06,5.2,4.1,6.1,,,265,9.5,27.8,1034.9,
2019-01-07,6.8,2.2,9.1,,,239,11.9,38.9,1031.6,
2019-01-08,7.5,6,10,,,306,29.9,59.3,1021.2,
2019-01-09,5,3.5,7,,,342,16.7,48.2,1022.2,
2019-01-10,3.4,2,5.2,,,330,7.2,20.4,1027.8,
2019-01-11,6.1,2.7,8.5,,,294,14.6,31.5,1026.4,
2019-01-12,7.3,6.2,8.7,,,266,19.4,42.6,1021,
2019-01-13,9.2,7.6,10,,,281,26,53.7,1010,
2019-01-14,6.7,4.7,8.7,,,310,19.7,53.7,1015.8,
2019-01-15,6.1,4.2,7.6,,,235,16.1,35.2,1019.8,
2019-01-16,6.2,5.7,6.7,,,215,21.3,40.8,1009.7,
2019-01-17,4.4,2.5,6,,,265,18.5,48.2,1006.2,
2019-01-18,0.3,-3,2.5,,,155,7.5,24.1,1019.1,
2019-01-19,-1.2,-4.9,2.7,,,115,9.9,24.1,1015.5,
2019-01-20,-2,-5.7,2.5,,,73,6.9,18.5,1017.1,
2019-01-21,-2.2,-7.9,3.5,,,201,4.4,14.8,1022.4,
2019-01-22,-1.2,-5.5,0.2,,,182,13.2,35.2,1006.8,
2019-01-23,-0.6,-2,0.5,,,63,10.7,24.1,1000.3,
2019-01-24,0.4,-0.9,2.5,,,169,7.1,16.7,1011.1,
2019-01-25,0.9,-2.7,5,,,200,11.7,31.5,1014.3,
2019-01-26,7,5.6,8.1,,,231,17.9,42.6,1006.1,
2019-01-27,6.2,4,8,,,244,23,46.3,988.3,
2019-01-28,3.9,1.5,6.2,,,302,27.2,59.3,998.2,
2019-01-29,2,0,4.7,,,195,14,27.8,1003.6,
2019-01-30,0.9,-0.2,2.5,,,299,10.5,24.1,994,
2019-01-31,-1.3,-2.5,0,,,166,12.5,31.5,995.4,
2019-02-01,2,-1,5,,,89,9.3,33.3,988.5,
2019-02-02,2.9,2,3.6,,,4,10.1,22.2,999.2,
2019-02-03,3.7,1.7,6.1,,,315,10.5,24.1,1020.7,
2019-02-04,2.4,1,4.1,,,202,20.1,44.5,1024.8,
2019-02-05,4,0.2,6.2,,,203,12,35.2,1026.6,
2019-02-06,5,1,7.6,,,194,14.4,31.5,1021.5,
2019-02-07,8.5,6.5,10,,,217,23.3,59.3,1009.9,
2019-02-08,8.1,5.6,10.1,,,201,25.2,57.4,1008.3,
2019-02-09,8.8,7.2,10.2,,,223,25.7,64.8,1004.1,
2019-02-10,7.7,4.7,10.2,,,238,25.4,57.4,996.1,
2019-02-11,5.4,3.5,7.6,,,284,16.1,48.2,1020.1,
2019-02-12,4.3,-1.2,9.1,,,226,10.5,25.9,1034.5,
2019-02-13,5.2,2.5,8.7,,,213,11.9,24.1,1036.1,
2019-02-14,4.3,-1.9,13.6,,,130,4.7,16.7,1034.8,
2019-02-15,5.9,-1,16.2,,,123,5.7,18.5,1030.2,
2019-02-16,6.3,-1,14.7,,,188,7.8,25.9,1025.7,
2019-02-17,7.6,-0.5,17.2,,,156,8.4,29.6,1020.9,
2019-02-18,7.5,0.2,14.7,,,178,8.1,24.1,1017.5,
2019-02-19,8.3,6.1,10.5,,,254,14.6,37,1019.6,
2019-02-20,7.6,4.7,11.5,,,211,9.9,27.8,1022.9,
2019-02-21,9.5,6.2,13.7,,,240,10.5,27.8,1027.4,
2019-02-22,9.2,7,13,,,321,7.4,16.7,1035.8,
2019-02-23,7.1,1,13.2,,,99,8.6,24.1,1036.8,
2019-02-24,7.1,-1.2,15.7,,,103,5.1,16.7,1037,
2019-02-25,9.6,2.2,18,,,84,5.4,16.7,1037.2,
2019-02-26,8.7,1,18.5,,,99,3.9,16.7,1034,
2019-02-27,9.3,0.7,18.5,,,186,5.6,24.1,1026.3,
2019-02-28,9.1,4.5,12.7,,,234,14.3,42.6,1017.2,
2019-03-01,7.5,6.6,9.5,,,288,16.4,37,1016.5,
2019-03-02,8.5,5.7,10.7,,,194,12.8,40.8,1014.5,
2019-03-03,11.6,10.2,13.2,,,212,25.4,50,1005.4,
2019-03-04,9.5,5.7,13.2,,,239,29.3,64.8,994.8,
2019-03-05,7.7,4.6,11,,,222,19.5,48.2,1005.6,
2019-03-06,10.7,8.5,12.6,,,176,18.6,40.8,998.7,
2019-03-07,9.6,8,11.5,,,219,25.5,63,993.8,
2019-03-08,8.4,6.2,11,,,252,18,55.5,1010.6,
2019-03-09,10,8,12.5,,,247,25.1,66.7,1011.9,
2019-03-10,8.3,6,11.7,,,243,25.5,90.8,1008.5,
2019-03-11,5.7,2.7,8,,,271,25.1,72.2,1020.2,
2019-03-12,7.4,5,10.7,,,212,26.3,61.1,1012.8,
2019-03-13,7.3,5.1,10.4,,,248,26.5,59.3,1005.8,
2019-03-14,8.9,6.5,12.7,,,259,25.7,63,1005,
2019-03-15,10.5,7.1,13.2,,,255,24.3,57.4,1006.8,
2019-03-16,10.8,8.2,12.2,,,235,23.9,63,1007.3,
2019-03-17,7.8,4,11.8,,,246,24.3,51.8,1003.8,
2019-03-18,5.9,0.7,10,,,279,15.3,37,1018.7,
2019-03-19,6,-0.4,11.2,,,208,7.1,22.2,1028.3,
2019-03-20,10.3,7.5,14,,,227,8.9,22.2,1033.4,
2019-03-21,9.2,5,14,,,286,6.9,16.7,1034.3,
2019-03-22,9.8,4.7,18.2,,,64,7.1,20.4,1029.8,
2019-03-23,9.8,8.1,12,,,315,9.8,22.2,1030.4,
2019-03-24,7.7,3.2,11,,,349,11.9,29.6,1028.9,
2019-03-25,7.8,5.7,9.2,,,317,24.3,57.4,1026.6,
2019-03-26,8.2,5.7,10.7,,,323,13.1,29.6,1032.7,
2019-03-27,9,6.5,11.2,,,333,6,16.7,1034.1,
2019-03-28,9.8,7.2,12.2,,,352,4.7,14.8,1035.6,
2019-03-29,9.7,1.2,17.1,,,78,5.3,20.4,1030.3,
2019-03-30,12,4,19,,,177,7.2,27.8,1022,
2019-03-31,,,,,,,,,,
2019-04-01,8.9,2.2,15.7,,,76,14.3,27.8,1020.9,
2019-04-02,9.3,5,16.6,,,169,12.2,35.2,1006.6,
2019-04-03,6.7,2.7,9.7,,,179,12.5,35.2,1001.4,
2019-04-04,5.2,0,10.5,,,139,7.5,20.4,1000.5,
2019-04-05,7.5,1,13.2,,,95,8.9,25.9,1005.6,
2019-04-06,10.5,7.5,14.5,,,78,9.3,18.5,1004.8,
2019-04-07,14.1,8.7,20,,,65,7.2,29.6,1005.1,
2019-04-08,11.3,9.5,15.5,,,233,7.8,25.9,1010.3,
2019-04-09,11.2,8.7,14.5,,,29,11.6,25.9,1011.8,
2019-04-10,8.6,4.5,12.6,,,47,17.9,37,1015.9,
2019-04-11,6.3,1.7,11.2,,,33,14.1,29.6,1023.1,
2019-04-12,5.3,2,8,,,52,12.2,31.5,1025.4,
2019-04-13,3.8,0.2,8.5,,,28,12.5,33.3,1025.8,
2019-04-14,4.5,-0.4,10.7,,,53,11.3,27.8,1025.1,
2019-04-15,8.8,1.2,16.2,,,87,13.7,33.3,1023.1,
2019-04-16,12.5,5.7,18.2,,,113,12.3,27.8,1015.9,
2019-04-17,12.1,8.5,15.7,,,137,6.8,18.5,1020.6,
2019-04-18,15.2,8.2,21.5,,,80,14,37,1023.4,
2019-04-19,17.4,10,24.5,,,69,12,31.5,1026.7,
2019-04-20,18,9.6,24.7,,,48,8.9,29.6,1027.9,
2019-04-21,17.2,9.7,24,,,63,7.5,24.1,1020.6,
2019-04-22,17.3,7.4,25,,,88,11,35.2,1008.4,
2019-04-23,15.9,11,21.5,,,88,15.2,35.2,998.7,
2019-04-24,16,10.1,23.6,,,159,17,50,998.3,
2019-04-25,11.6,8.5,16.5,,,157,14.4,40.8,1004.7,
2019-04-26,12.6,7.5,17.2,,,208,12.3,33.3,1012.4,
2019-04-27,11.1,9.6,12.7,,,231,18.8,57.4,1012.3,
2019-04-28,8.8,6,10.7,,,244,10.7,33.3,1017.9,
2019-04-29,9.4,1.7,16.1,,,0,6.8,31.5,1024.8,
2019-04-30,11.6,9.5,14.1,,,12,10.1,25.9,1023.9,
2019-05-01,11.1,8.2,14.6,,,15,7.7,24.1,1018.7,
2019-05-02,9.8,4.1,13.2,,,266,10.7,29.6,1012.8,
2019-05-03,9.8,7.6,11.7,,,338,10.2,31.5,1013.6,
2019-05-04,6.9,4.5,10,,,340,17.1,59.3,1013.3,
2019-05-05,7.6,5.5,11.7,,,343,14.7,44.5,1021.8,
2019-05-06,7.9,5,11.6,,,256,12.5,33.3,1021.8,
2019-05-07,9.1,2.5,14.2,,,193,6.6,25.9,1017.4,
2019-05-08,10.6,8.1,15,,,157,13.7,33.3,1001,
2019-05-09,11.3,6,15.7,,,203,11.1,29.6,998,
2019-05-10,11.3,9.7,13.7,,,263,10.1,35.2,1008.8,
2019-05-11,11.7,9,15.2,,,12,15.5,40.8,1015.7,
2019-05-12,10.4,6.6,14.2,,,350,12.3,33.3,1033.8,
2019-05-13,10.8,4.7,16.1,,,43,12,33.3,1039,
2019-05-14,11.4,5.7,16.5,,,49,13.8,35.2,1033.9,
2019-05-15,12.8,7,17.7,,,58,11,35.2,1026.5,
2019-05-16,12.7,7.1,17.3,,,55,11.1,31.5,1018.5,
2019-05-17,11.7,10,13.1,,,79,11,22.2,1008.3,
2019-05-18,14.7,9.2,20.2,,,45,5,20.4,1006.3,
2019-05-19,14.5,12,18.1,,,342,12.9,33.3,1006.9,
2019-05-20,12.3,11.2,13.5,,,325,15.5,33.3,1009.6,
2019-05-21,12.3,10.5,15.5,,,317,22.5,44.5,1015.7,
2019-05-22,14.6,10.2,20.5,,,316,9.9,33.3,1020.1,
2019-05-23,15.8,7.7,21.5,,,163,7.5,29.6,1018.3,
2019-05-24,16.9,11.3,22.5,,,285,11.3,35.2,1015.9,
2019-05-25,13.8,8.5,18.5,,,316,6.6,22.2,1018,
2019-05-26,15.4,9,20.7,,,226,15.2,40.8,1014.7,
2019-05-27,15.5,12.6,18.2,,,283,13.1,35.2,1010.3,
2019-05-28,12.7,11,14.7,,,287,10.8,31.5,1010.1,
2019-05-29,13.5,5.7,19.6,,,138,8.3,27.8,1020.6,
2019-05-30,17.2,13.2,21.1,,,229,17.4,35.2,1022.3,
2019-05-31,17.5,14,21,,,244,12.6,27.8,1025,
2019-06-01,19.1,10.1,26.6,,,196,5.7,29.6,1021.5,
2019-06-02,23.2,14.5,31,,,159,12.2,40.8,1013.5,
2019-06-03,18.4,17.5,19.5,,,255,11.1,27.8,1013.5,
2019-06-04,17.9,10.1,25.1,,,118,10.7,37,1009,
2019-06-05,16.2,13.2,18.5,,,199,11.3,31.5,1007.5,
2019-06-06,14,10.7,19,,,232,15.3,37,1011.4,
2019-06-07,14.4,9,21,,,128,18.5,40.8,1008.9,
2019-06-08,15,12.2,17.7,,,217,31.8,66.7,1014.2,
2019-06-09,15.2,10.5,19.2,,,187,8.1,29.6,1022.1,
2019-06-10,16.8,13.2,21.2,,,82,8,22.2,1013.3,
2019-06-11,15.3,10.5,19.1,,,232,9.4,22.2,1012.2,
2019-06-12,14.8,13.1,18.1,,,314,8.9,25.9,1009.8,
2019-06-13,14.4,11.6,17.5,,,192,16.2,46.3,1010.7,
2019-06-14,17,10.7,23.2,,,176,10.2,29.6,1013.4,
2019-06-15,16,13.5,20,,,311,9.3,25.9,1013.9,
2019-06-16,17.3,12.5,21.5,,,214,11,31.5,1019.6,
2019-06-17,19.6,11.5,25.6,,,174,7.5,25.9,1019.6,
2019-06-18,21.9,16,27,,,52,5.1,18.5,1014.5,
2019-06-19,19.9,17,26.7,,,115,9.5,35.2,1007.9,
2019-06-20,17.5,15.2,20.1,,,260,14.3,35.2,1012.3,
2019-06-21,16.1,11.7,20,,,273,11.7,29.6,1019.5,
2019-06-22,17.8,11,23.7,,,37,9.2,27.8,1021.4,
2019-06-23,22.2,14.5,28.7,,,78,10.4,31.5,1017.8,
2019-06-24,25,18.1,31,,,115,8.6,25.9,1017.2,
2019-06-25,26.4,20.6,33.1,,,126,10.7,31.5,1016.6,
2019-06-26,20.8,17.1,26.2,,,334,13.8,31.5,1024.6,
2019-06-27,19,14.5,24.1,,,35,15.9,31.5,1027.9,
2019-06-28,19,12.2,25.7,,,62,12.5,25.9,1025.2,
2019-06-29,24.2,14.1,32.7,,,103,9,24.1,1018.2,
2019-06-30,22.6,18.5,25.7,,,283,13.2,37,1014.7,
2019-07-01,19,15.5,22,,,285,16.8,38.9,1019,
2019-07-02,18.6,15,23,,,342,10.7,31.5,1023.1,
2019-07-03,16.9,12.2,21.7,,,28,13.7,33.3,1025.5,
2019-07-04,17.1,10.5,23.2,,,36,9.3,22.2,1024.8,
2019-07-05,20.2,16.5,25,,,301,11.7,35.2,1018.7,
2019-07-06,18.7,13.6,24.2,,,268,11.7,35.2,1013,
2019-07-07,16.7,14.2,20.2,,,355,10.8,35.2,1015.9,
2019-07-08,15.3,11.5,18.7,,,324,14,37,1020.6,
2019-07-09,15.8,8.5,21.2,,,8,7.7,27.8,1021.9,
2019-07-10,17.1,11.6,22.1,,,121,5.6,25.9,1020.1,
2019-07-11,20,15.7,24.2,,,243,11.3,31.5,1013.5,
2019-07-12,18.4,15,21.5,,,285,13.4,42.6,1012.9,
2019-07-13,17.5,15.5,20.5,,,322,15.3,38.9,1018.9,
2019-07-14,16.5,14.7,19.7,,,7,11.4,33.3,1021.1,
2019-07-15,15.3,11.2,18,,,354,8.4,25.9,1021.1,
2019-07-16,16.9,14.7,20.2,,,328,6.8,22.2,1019.6,
2019-07-17,18.3,10,25,,,89,4.2,18.5,1015.8,
2019-07-18,19.1,15.7,22.6,,,218,11.4,31.5,1011.9,
